,link,text
0,https://www.i-tor.ru,                                  Цифровые трансформаторы тока от       Электронные измерительные трансформаторы для интеллектуального уч та в высоковольтных сетях    кВ    кВ      кВ Что такое               инновационная разработка уральских инженеров  созданная по запросу электросетевых компаний  для экономичной организации коммерческого учета в электросетях средних и высоких классов напряжения  Благодаря применению линейки       стало возможным организовать пункт коммерческого уч та в любой точке сети  где есть необходимость  И сделать это без применения тяжелой техники и строительства дополнительной инфраструктуры          Реализованные проектов     Крупнейших городов России   Поставки в   стран         Устройств произведено   Патентов на устройства            Первый в мире ПКУ     кВ для ВЛ Продукты и решения Устройства внесены в Государственный реестр средств измерения Росстандарт Продукты Решения            Комбинированный электронный трансформатор тока и напряжения     кВ для коммерческого уч та с возможностью монтажа на опорах ЛЭП и подстанциях Подробнее          Комбинированный электронный трансформатор тока и напряжения   кВ для коммерческого уч та с возможностью монтажа на опорах ЛЭП и подстанциях Подробнее           Устройство отбора малой мощности от высоковольтной линии электропередач     кВ Подробнее                Электронные измерители напряжения для ячеек      кВ с воздушной изоляцией Подробнее                Электронные измерители напряжения для ячеек      кВ с элегазовой       изоляцией Подробнее ПКУ для кабельных линий      кВ Комплектный пункт коммерческого уч та для кабельных линий     кВ на базе измерителей напряжения       Подробнее Посмотреть решения на основе данных устройств Смотреть решения Наши преимущества Эффективный учет там  где он нужен Применение аппаратов       позволяет эффективнее вести коммерческий учет электроэнергии в высоковольтных сетях за счет высокой точности измерений до      и     Экономия на организации учета Организация учета на базе разработок       требует до     меньших затрат  чем учет на базе других аппаратов  Это позволяет получить больше уч та за те же деньги Установка в любой точке сети Масса и габариты       в разы меньше чем у электромагнитных трансформаторов  Это позволяет организовывать пункты учета не так  где это доступно  а там  где необходимо  Даже на опоре ЛЭП  Простая интеграция в системы АСКУЭ       может работать с любым сч тчиком электроэнергии  внес нным в Госреестр  Интеграция его в существующие системы АИСКУЭЭ не предстовляет трудностей Есть вопросы    Давайте ответим  Узнаем схему текущей системы  посчитаем выгоду  поможем спроектировать внедрение                                   Полученная заявка будет обработана в течение   рабочего дня Согласие на обработку персональных данных Сертификаты и документы Все документы Сегодня мы    обладаем собственными производственными мощностями и штатом квалифицированных специалистов    имеем собственную испытательную лабораторию    подтвердили соответствие российским и международным стандартам качества            являемся резидентами фонда Сколково  Фонда содействия инновациям  корпорации МСП   способны реализовать любые проекты в сетях       кВ    Клиенты География Возможность отгрузки в любую точку мира Быстрая доставка на Ваш склад Монтаж оборудования за     смены Полная наблюдаемость электросети   Яндекс Условия использования Новости Все новости    октября      Установка пунктов коммерческого учета          октября      Монтаж оборудования       Реализованные проекты Все объекты Пункт уч та в Татнефть Задача  Перенос учета на границу балансовой принадлежности согласно договору поставки электроэнергии  опора ЛЭП   Продукт                               в территориальных сетевых организациях Задача  Требовалась организация узлов коммерческого уч та электроэнергии на границе балансовой принадлежности на высокой стороне с целью получения денежных средств за транзит  Продукт                  Умный и экономичный учет электроэнергии Международный сертификат качества          Персональные данные Все права защищены        О проекте       Исследования осуществляются ООО  АЙ ТОР  при грантовой поддержке  Фонда Сколково  и Фонда содействия развитию малых форм предприятий в научно технической сфере  Каталог Решения Продукты Новости Реализованные проекты О компании Контакты Документация Техническая документация Патенты Сертификаты и свидетельства Наши контакты         г  Екатеринбург  ул  Машинная    а  оф       тел факс                                    ИНН             ОГРН                Соцсети Карта сайта
1,https://visitech.ru,                                  О нас Компания  АЙ ТОР    инновационное научно производственное предприятие из Екатеринбурга  Разработчик и производитель уникальной  не имеющий аналогов в мире линейки аппаратов        Деятельность Ай Тор началась с заказа российской электросетевой компании  МРСК Урала  на измерительные аппараты коммерческого учета электроэнергии  Заказчик поставил задачу   разработать технологию  которая позволяла бы установить датчики на любой точке сети  а конкретно на опоре линии электропередач     кВ  Благодаря успешному изобретению        на     кВ произошел большой толчок в развитие стартапа  Устройство было первое в своем роде соответствующее запросу  МРСК Урала  по технологическим параметрам и функционалу  Сейчас предприятие выпускает высоковольтные аппараты для коммерческого уч та электроэнергии на класс напряжении от     до   кВ  Наша продукция поставляется практически во все регионы России  Мы занимаемся не только реализацией разработанных систем  но и научно исследовательскими работами   Благодаря инновационному подходу и постоянной оптимизации изобретений Ай Тор реализует проекты новой цифровой энергетики и выходит на международный рынок  О компании в цифрах       Реализованные проектов     Крупнейших городов России   Поставки в   стран         Устройств произведено   Патентов на устройства            Первый в мире ПКУ     кВ для ВЛ Историческая справка      Старт проекта      Создан первый опытный образец комбинированного аппарата на     кВ      НТС МРСК Урала одобрил опытно промышленную эксплуатацию      Проект       стал резидентом  Сколково       Начало внедрения       в сетевом комплексе РФ      Начат серийный выпуск          и                        на    й сессии       в Париже      Компания  АЙ ТОР  завершила сертификацию системы               Расширение производства и выход на международные рынки Производство Вся продукция компании АЙ ТОР выпускается на собственном производстве  расположенном в г  Екатеринбург  Производственный цех оснащен современным высокотехнологическим оборудованием  укомплектован квалифицированным производственным персоналом   Устройства внесены в Государственный реестр средств измерения Росстандарт Производственный процесс ориентирован на широкую кооперацию с ведущими предприятиями Свердловской области и Российской Федерации  Мы стремимся широко внедрять и использовать достижения отечественной промышленности в части применяемых материалов и комплектующих  постоянно расширяя сотрудничество с ведущими отраслевыми и образовательными институтами  Вед тся постоянная работа по повышению культуры производства и квалификации пресонала  механизации и оснащению рабочих мест  скурпул зному контролю за качеством производимой продукции   Соблюдение качества Вед тся постоянная работа по повышению качества производственных процессов в соответствии с идеологией         Мы работаем с поставщиками материалов и комплектующих  осуществляем тщательный входной и промежуточный контроль  Вся продукция перед отправкой Заказчику проходит при мо сдаточные испытания в собственной лаборатории  С      года на предприятии аттестована и функционирует своя метрологическая лаборатория  обеспечивающая соответствие выпускаемой продукции заявленным метрологическим характеристикам  Скачать документы  Политика в области качества Подробнее о качестве Сервис и обслуживание Принципы сервисно гарантийного обслуживания  Ответ специалиста консультанта в течении    часов Предоставление подменного оборудования на время гарантийного ремонта Работы шеф монтажа оборудования Обучение эксплуатационого персонала Подробнее о сервисе География Возможность отгрузки в любую точку мира Быстрая доставка на Ваш склад Монтаж оборудования за     смены Полная наблюдаемость электросети   Яндекс Условия использования Реализованные проекты Все объекты Пункт уч та в Татнефть Задача  Перенос учета на границу балансовой принадлежности согласно договору поставки электроэнергии  опора ЛЭП   Продукт                               в территориальных сетевых организациях Задача  Требовалась организация узлов коммерческого уч та электроэнергии на границе балансовой принадлежности на высокой стороне с целью получения денежных средств за транзит  Продукт                  Линейка       и Самаранефтегаз Задача  Требовалась организация узлов коммерческого уч та электроэнергии на границе балансовой принадлежности сторон объектов электроэнергетики обществ НК  Роснефть  со сторонними организациями  с выводом точек учета на оптовый рынок электроэнергии  Продукт                                         организовывает учет в АО  ЕЭСК  Задача  Организовать коммерческий уч т границе балансовой принадлежности без расширения подстанции  Продукт            Таврида Электрик применяет       в готовых ячейках КРУ Таврида Электрик начали применять продукты           кВ в готовых ячейках КРУ серии Эталон  Продукт                        для питания мониторинга обледенения в Заполярье           за Полярным кругом  Наши аппараты используются для питания системы контроля обледенения на проводах ЛЭП     кВ  Продукт             Показать еще Клиенты и партнеры Реквизиты ООО  АЙ ТОР  Адрес местонахождения          г  Екатеринбург  ул  Машинная    А  офис       Тел факс                                               Банковские реквизиты р счет                      АО  МСП Банк  к счет                      БИК           ИНН            КПП           ОГРН               ОКПО          ОКАТО             ОКОГУ         ОКОПФ       ОКТМО             Сертификаты и документы Все документы Важные вехи проекта Все новости    октября      Установка пунктов коммерческого учета          октября      Монтаж оборудования          сентября      Заседание комитета по энергетике    сентября      Участие в конкурсе  Славим человека труда     сентября      Всероссийская премия  Экспортер года  АЙ ТОР получил почетные награды по тр м номинациям премии    сентября      Выпущен       ый комплект          Показать еще Есть вопросы    Давайте ответим  Узнаем схему текущей системы  посчитаем выгоду  поможем спроектировать внедрение                                   Полученная заявка будет обработана в течение   рабочего дня Согласие на обработку персональных данных Умный и экономичный учет электроэнергии Международный сертификат качества          Персональные данные Все права защищены        О проекте       Исследования осуществляются ООО  АЙ ТОР  при грантовой поддержке  Фонда Сколково  и Фонда содействия развитию малых форм предприятий в научно технической сфере  Каталог Решения Продукты Новости Реализованные проекты О компании Контакты Документация Техническая документация Патенты Сертификаты и свидетельства Наши контакты         г  Екатеринбург  ул  Машинная    а  оф       тел факс                                    ИНН             ОГРН                Соцсети Карта сайта         ОПЕРАЦИОННАЯ ЭФФЕКТИВНОСТЬ УЗНАТЬ ПОДРОБНЕЕ     Формирование культуры безопасности Техническая поддержка    технологии О ДФВТ Дальневосточный Фонд Высоких Технологий   инвестиционный фонд  созданный в      году Фондом развития Дальнего Востока  РОСНАНО и РВК  Российская венчурная компания    Подробнее Перейти ко всем новостям Получить демо доступ к нашим продуктам Вы хотите задать вопрос  Оставьте свои контактные данные и мы свяжемся с вами в ближайшее время  Нажимая на кнопку  вы даете согласие на обработку своих персональных данных  Отправить Контактный телефон                     Центральный офис ООО  ВИЗИТЕК   г  Москва ИЦ  Сколково   Большой бульвар  д      стр     офис                                           г Москва ИЦ  Сколково   Большой бульвар  д      стр     офис                                           г  Нижний Новгород ул  Семашко  д      офис                        Казахстан  г  Алматы пр  Достык  д       офис                                                    Программные продукты Электронный наряд допуск Ключевые показатели эффективности Производственный контроль Опасные условия  Опасные действия Управление происшествиями Управление персоналом и подрядчиками Антипандемия Технологии и сервисы Формирование культуры безопасности Техническая поддержка    технологии Контакты О компании Вакансии Контактная информация Новости Фотогалерея Видеогалерея СМИ о нас СтатьиГлавная   О нас О нас Мы являемся российской ИТ компанией и занимаемся разработкой и внедрением интеллектуальных информационных систем для промышленных предприятий  Как эксперты в цифровой трансформации  мы помогаем своим клиентам достичь повышения операционной эффективности  надежности и безопасности  В числе наших клиентов ведущие компании нефтегазовой  химической и металлургической промышленности  Являясь одним из самых успешных и быстроразвивающихся резидентов ИТ кластера Инновационного центра  Сколково   мы активно растем и пополняем ряды своих специалистов  Перед нами стоят глобальные и амбициозные задачи   если вы готовы проявить себя и хотите стать частью нашей дружной команды  направляйте свои резюме на                             Программные продукты Электронный наряд допуск Ключевые показатели эффективности Производственный контроль Опасные условия  Опасные действия Управление происшествиями Управление персоналом и подрядчиками Антипандемия Технологии и сервисы Формирование культуры безопасности Техническая поддержка    технологии Контакты О компании Вакансии Контактная информация Новости Фотогалерея Видеогалерея СМИ о нас Статьи
2,http://vnh-energo.ru, ВНХ Энерго  Детонационные двигатели Актуальные работы по созданию двигателей  использующих термодинамический цикл детонационного горения Подробнее Концепция ракеты носителя сверхлегкого класса Системы выведения полезных нагрузок на низкие орбиты Подробнее Ракетные двигатели Разработка широкодиапазонных и комбинированных двигателей  разработка электрических приводов для систем питания реактивных и ракетных двигателей Подробнее О компании  ВНХ Энерго  ООО  ВНХ Энерго  с      г  осуществляет научные исследования и разработки в области авиа  и ракетостроения  в частности  систем зажигания ракетных  комбинированных и прямоточных воздушно реактивных двигателей со сверхзвуковым горением  разработку широкодиапазонный ракетных и комбинированных двигателей  разработку электрических приводов для систем питания реактивных и ракетных двигателей  исследования в области водородных энергетических установок  плазменного горения  Подробнее            ВНХ Энерго   победитель второго конкурса на создание ракеты носителя сверхлегкого класса и межорбитального малого разгонного блока Итоги второго этапа конкурса на создание ракеты носителя сверхлегкого класса и межорбитального малого разгонного блока  ВОЕНМЕХ   ракета носитель   РНСЛК            ВНХ Энерго   победитель премии НТИ  Технологический прорыв       Премия НТИ в номинации  Преодоление барьеров и открытие новых возможностей  рынков  с концепцией сверхлегкой ракеты                 ВОЕНМЕХ   НТИ   ракета носитель   ракетный двигатель            Транспортная система          Компания продолжает работы по развитию проекта  целью которого является создание ракеты   носителя сверхлегкого класса  РН СЛК   малого разгонного блока  МРБ   ВОЕНМЕХ   РНСЛК   ШРД             ВНХ Энерго  представила свои разработки на МАКС      Компания стала полноценным участником Международном авиационно космическом салоне  МАКС        проходящем на аэродроме Жуковский в период с    по    июля      года   ВОЕНМЕХ   МАКС        ракета носитель   ракетный двигатель            ВНХ Энерго   победитель первого конкурса концепций РНСЛК Конкурс проводился среди предприятий частного бизнеса по максимально прозрачным и демократичным правилам  В ряде проектов приняли участие коллективы ведущих аэрокосмических университетов  ВОЕНМЕХ   ракета носитель   РНСЛК            О разработке оригинальной системы охлаждения и потенциально многоразовой ракете Интервью для            ВОЕНМЕХ   РНСЛК   ШРД Все новости Партнеры О компании Технологии События и достижения Новости Общество с ограниченной ответственностью  ВНХ Энерго                 г  Санкт Петербург  ул  Степана Разина  д        Литер  А  пом    Н  Ч П   каб                      ВНХ Энерго  Главная   О компании  ВНХ Энерго  О компании  ВНХ Энерго  ООО  ВНХ Энерго  с      г  осуществляет научные исследования и разработки в области авиа  и ракетостроения  в частности систем зажигания ракетных  комбинированных и прямоточных воздушно реактивных двигателей со сверхзвуковым горением  разработку широкодиапазонный ракетных и комбинированных двигателей  разработку электрических приводов для систем питания реактивных и ракетных двигателей  исследования в области водородных энергетических установок  плазменного горения  С      года и по настоящее время является резидентом Сколково  Ключевые компетенции  разработка бортовых систем контроля аэрокосмического назначения  разработка специализированного программного обеспечения с элементами искусственного интеллекта  разработка электрических машин  контроллеров и программного обеспечения для управления ими  разработка широкодиапазонных сопел  движителей   обеспечивающих сохранение на оптимальном уровне силы тяги и удельного импульса в широком диапазоне скоростей и высот полета  разработка технологии камер сгорания  использующих комбинированные термодинамические циклы горения  включая объемное воспламенение и горение при постоянном объеме  разработка техники и технологии прямоточных и комбинированных двигателей для беспилотных летательных аппаратов  БЛА  и РН СЛК  компетенции в области экономичного и экологически чистого сжигания топлива  Коллектив Штат компании насчитывает    человек  из которых   научных сотрудника    инженера конструктора    инженера расчетчика и   программист  Все привлекаемые сотрудники имеют высшее профессиональное образование  включая   к т н     к ф м н    д ф м н  Направления специализации сотрудников  авиационная и ракетная техника  а также методы е  оптимизации  конструкционный расчет аппаратов   ракетные двигатели  ракетные топлива  гибридные реактивные двигатели  источники питания  плазменная аэродинамики и плазменно стимулированное горение  термоэмиссионное охлаждение  электрофизические установки  О компании Технологии События и достижения Новости Общество с ограниченной ответственностью  ВНХ Энерго                 г  Санкт Петербург  ул  Степана Разина  д        Литер  А  пом    Н  Ч П   каб                     
3,http://www.ap-spb.com,Производство алмазного инструмента для геологоразведки под брендом ЭЗТАБ Компания производит алмазный буровой инструмент   коронки  башмаки  расширители   О компании Каталог продукции    Доставка в срок Доставка в любую точку России  ближнего и дальнего зарубежья Консультации специалистов Готовы отвечать на вопросы  когда удобно      надежности Предоставляем документы  техническую документацию и паспорта Внедряем с Вами Мы всегда рады вашим отзывам  Они помогают нам делать инструмент лучше  Каталог инструмента Каталог Представленные у нас инструменты  разработанные квалифицированными специалистами в области технологий геологоразведочных работ  отличаются высокой точностью и производительностью  Наши сотрудники дадут вам полную информацию об интересующих вас изделиях  Мы по праву гордимся своей продукцией  которая уже более    лет успешно используется в каждой второй российской геолого разведывательной компании  Алмазный породоразрушающий инструмент Твердосплавные коронки Проектируем и разрабатываем Услуги Все услуги Полный комплекс услуг от проектирования до разработки и испытаний бурового инструмента с предоставлением всей необходимой документации Услуги Услуги механической обработки  Услуги Испытания бурового инструмента Услуги Проектирование бурового инструмента Отзывы Нам доверяют Все отзывы Обратная связь помогает развиваться в нужном направлении  Мы прислушиваемся к отзывам  ищем новые точки роста и корректируем рабочие процессы  Благодарим всех  кто выразил свое мнение  Для нас это ценно  Новости События компании Все новости Рассказываем о событиях  связанных с нашей отраслью и успехами компании  Не стоим на месте  внедряем новые технологии в производство и расширяем границы филиалов  Читайте новости компании  будьте в курсе тенденций и значимых событий     января      Конструктивное начало года     октября      Дорогу молодым    октября      Душевно и продуктивно  О компании Производитель геологоразведочного инструмента Подробнее Алмазный проект   производственная площадка  выпускающая геологоразведочный инструмент по брендом ЭЗТАБ  С      года компания является резидентом Сколково  Деятельность компании направлена на разработку  изготовление и внедрение алмазного инструмента для геологоразведочной отрасли  Внедряем с Вами Мы всегда рады вашим отзывам  Они помогают нам делать инструмент лучше       надежности Предоставляем документы  техническую документацию и паспорта Консультации специалистов Готовы отвечать на вопросы  когда удобно Доставка в срок Доставка в любую точку России  ближнего и дальнего зарубежья Компания О компании Отзывы Вакансии Каталог Алмазный породоразрушающий инструмент Твердосплавные коронки Услуги Услуги                                          Алмазный проект    официальный производитель геологоразведочного инструмента Политика конфиденциальности
4,http://neurotrend.ru/,О компании Главная О компании Алмазный проект производитель геологоразведочного инструмента Алмазный проект   производственная площадка  выпускающая геологоразведочный инструмент по брендом ЭЗТАБ С      года компания Алмазный проект является резидентом Сколково  Деятельность компании направлена на разработку  изготовление и внедрение алмазного инструмента для геологоразведочной отрасли  Алмазный проект   это  уникальное производство новые собственные технологии и инновационные разработки строгий контроль качества исходных материалов и алмазного сырья  собственная производственная лаборатория разнообразие ассортимента по типоразмерам и областям применения  Компания О компании Отзывы Вакансии Каталог Алмазный породоразрушающий инструмент Твердосплавные коронки Услуги Услуги                                          Алмазный проект    официальный производитель геологоразведочного инструмента Политика конфиденциальностиКрупнейшая нейромаркетинговая компания в России и     О компании Новости Спецпроекты Образование Лаборатория Исследования Контакты Подкасты    Главная О компании Спецпроекты Нейровизор Подкаст Новости Лаборатория Исследования Образование    Исследования осуществляются АО  Нейротренд  при грантовой поддержке Фонда  Сколково  Проект реализован при участии и поддержке Фонда НТИ ИНФОРМАЦИЯ Исследования Спецпроекты Лаборатория Образование Новости УСЛУГИ Тестирование упаковки Тестирование рекламы Тестирование фильмов Тестирование компьютерных игр Тестирование торгового пространства Тестирование сайтов и онлайн сервисов КОНТАКТЫ Телефон                                                            Адрес         Москва    й Можайский тупик  А  стр              г    Исследовательский центр           
5,https://www.everpoint.ru,Крупнейшая нейромаркетинговая компания в России и     О компании Новости Спецпроекты Образование Лаборатория Исследования Контакты Подкасты    Главная О компании Спецпроекты Нейровизор Подкаст Новости Лаборатория Исследования Образование    Исследования осуществляются АО  Нейротренд  при грантовой поддержке Фонда  Сколково  Проект реализован при участии и поддержке Фонда НТИ ИНФОРМАЦИЯ Исследования Спецпроекты Лаборатория Образование Новости УСЛУГИ Тестирование упаковки Тестирование рекламы Тестирование фильмов Тестирование компьютерных игр Тестирование торгового пространства Тестирование сайтов и онлайн сервисов КОНТАКТЫ Телефон                                                            Адрес         Москва    й Можайский тупик  А  стр              г    Исследовательский центр           Геосервисы для принятия решений О компании Сайт              использует файлы             адрес вашего браузера  историю   посещ нных страницах сайта  данные геолокации  Эта информация поможет нам улучшить работу сайта  Политика конфиденциальности                это мы  Сайт              использует файлы             адрес вашего браузера  историю   посещ нных страницах сайта  данные геолокации  Эта информация поможет нам улучшить работу сайта  Политика конфиденциальности    
6,http://www.unistem.ru,Продукты Инженерный раздел Проекты О компании Новости Контакты       МОДУЛЬНЫЕ СИСТЕМЫ                         ОКОННЫЕ СИСТЕМЫ                        ПРОВЕРКА ДОКУМЕНТАЦИИ ИНДИВИДУАЛЬНЫЕ РЕШЕНИЯ ПРОЕКТЫ НОВОСТИ Больше новостей      июн       г  Логистический комплекс компании  Чистая Линия  Завершены работы по устройству фасадов логистического комплекса компании  Чистая Линия  в Санкт Петербурге     мар       г                В связи со сложившимися обстоятельствами в России и Мире  наша команда временно перешла на работу из дома  Мы  как и прежде  на связи и                            
